Date,X,Y,Z,F
1989-03-12 00:00:00,20352.4,-3375.4,50384,54444
1989-03-12 00:01:00,20352.1,-3374.74,50384.1,54444
1989-03-12 00:02:00,20352.4,-3373.57,50384,54444
1989-03-12 00:03:00,20351.4,-3371.59,50384,54444
1989-03-12 00:04:00,20350.9,-3368.46,50383.9,54443
1989-03-12 00:05:00,20352.7,-3363.28,50383.4,54443
1989-03-12 00:06:00,20354.2,-3360.48,50383.1,54444
1989-03-12 00:07:00,20356.5,-3358.44,50382.9,54444
1989-03-12 00:08:00,20356.2,-3355.96,50383.1,54444
1989-03-12 00:09:00,20356.5,-3354.18,50383.5,54444
1989-03-12 00:10:00,20354.6,-3352.05,50383.9,54444
1989-03-12 00:11:00,20352.3,-3349.83,50384.6,54443
1989-03-12 00:12:00,20352.3,-3346.79,50385.1,54443
1989-03-12 00:13:00,20353.8,-3342.79,50385.1,54444
1989-03-12 00:14:00,20356.8,-3340.24,50385,54445
1989-03-12 00:15:00,20360.4,-3338.4,50384.4,54445
1989-03-12 00:16:00,20363,-3338.22,50383.6,54445
1989-03-12 00:17:00,20365.2,-3340.4,50382.9,54445
1989-03-12 00:18:00,20365.7,-3342.3,50382.2,54445
1989-03-12 00:19:00,20365.5,-3344.1,50381.3,54445
1989-03-12 00:20:00,20366.1,-3345.41,50380.6,54444
1989-03-12 00:21:00,20366.8,-3346.76,50380.2,54444
1989-03-12 00:22:00,20366.2,-3348.47,50379.8,54444
1989-03-12 00:23:00,20364.2,-3350.58,50379.8,54443
1989-03-12 00:24:00,20363.9,-3351.75,50379.4,54442
1989-03-12 00:25:00,20364.2,-3353.62,50379.2,54443
1989-03-12 00:26:00,20361.3,-3355.59,50379.6,54442
1989-03-12 00:27:00,20361.1,-3357.97,50379.8,54442
1989-03-12 00:28:00,20359,-3358.85,50380.3,54442
1989-03-12 00:29:00,20357.3,-3358.57,50380.6,54442
1989-03-12 00:30:00,20356.4,-3358.43,50381.2,54442
1989-03-12 00:31:00,20355,-3357.59,50382,54442
1989-03-12 00:32:00,20354.8,-3355.12,50382.8,54443
1989-03-12 00:33:00,20355.3,-3352.77,50383.1,54443
1989-03-12 00:34:00,20356.2,-3351.09,50383.8,54444
1989-03-12 00:35:00,20357.1,-3350.63,50384,54444
1989-03-12 00:36:00,20358.2,-3350.2,50383.8,54444
1989-03-12 00:37:00,20358.3,-3352.04,50383.8,54444
1989-03-12 00:38:00,20357,-3353.66,50383.4,54444
1989-03-12 00:39:00,20355.8,-3355.89,50383.3,54443
1989-03-12 00:40:00,20354.8,-3358.16,50383,54443
1989-03-12 00:41:00,20353.4,-3360.96,50383.1,54443
