Date,X,Y,Z,F
1989-03-12 00:00:00,17218,-7488,49415,52863.8
1989-03-12 00:01:00,17220,-7490,49414,52862.3
1989-03-12 00:02:00,17222,-7491,49411,52861
1989-03-12 00:03:00,17223,-7493,49408,52859.2
1989-03-12 00:04:00,17224,-7496,49404,52856.2
1989-03-12 00:05:00,17221,-7499,49396,52848.2
1989-03-12 00:06:00,17217,-7503,49388,52839.9
1989-03-12 00:07:00,17213,-7508,49383,52834.7
1989-03-12 00:08:00,17207,-7511,49374,52824.7
1989-03-12 00:09:00,17198,-7512,49362,52810.7
1989-03-12 00:10:00,17192,-7512,49353,52800.4
1989-03-12 00:11:00,17188,-7512,49349,52795.1
1989-03-12 00:12:00,17186,-7513,49353,52799.6
1989-03-12 00:13:00,17187,-7513,49359,52805.4
1989-03-12 00:14:00,17187,-7512,49365,52810
1989-03-12 00:15:00,17188,-7510,49370,52814.7
1989-03-12 00:16:00,17189,-7506,49372,52816.3
1989-03-12 00:17:00,17190,-7503,49376,52820
1989-03-12 00:18:00,17194,-7500,49379,52823.7
1989-03-12 00:19:00,17202,-7496,49384,52830.4
1989-03-12 00:20:00,17210,-7496,49398,52846.1
1989-03-12 00:21:00,17217,-7494,49402,52851.8
1989-03-12 00:22:00,17224,-7489,49401,52853.2
1989-03-12 00:23:00,17230,-7487,49398,52851.9
1989-03-12 00:24:00,17234,-7484,49390,52844.7
1989-03-12 00:25:00,17238,-7482,49381,52837.9
1989-03-12 00:26:00,17241,-7484,49377,52834.9
1989-03-12 00:27:00,17243,-7489,49374,52834
1989-03-12 00:28:00,17243,-7495,49373,52833.2
1989-03-12 00:29:00,17239,-7504,49374,52833.8
1989-03-12 00:30:00,17235,-7513,49376,52836.6
1989-03-12 00:31:00,17228,-7522,49380,52839.1
1989-03-12 00:32:00,17219,-7529,49382,52837.9
1989-03-12 00:33:00,17211,-7535,49384,52838.8
1989-03-12 00:34:00,17205,-7538,49389,52841.7
1989-03-12 00:35:00,17199,-7539,49394,52844.2
1989-03-12 00:36:00,17194,-7539,49399,52847.2
1989-03-12 00:37:00,17190,-7536,49403,52849.1
1989-03-12 00:38:00,17187,-7532,49406,52851.4
1989-03-12 00:39:00,17186,-7529,49409,52853.2
1989-03-12 00:40:00,17186,-7525,49412,52855.6
1989-03-12 00:41:00,17186,-7523,49417,52860.5
1989-03-12 00:42:00,17187,-7522,49423,52865.6
1989-03-12 00:43:00,17187,-7521,49431,52872
1989-03-12 00:44:00,17188,-7520,49437,52877.8
1989-03-12 00:45:00,17189,-7519,49440,52881.7
